REGISTRO_ANIO;REGISTRO_NUMERO;REGISTRO_FECHA;RESPONSABLE_DOCUMENTO;MASCOTA_TIPO;MASCOTA_SEXO;MASCOTA_NOMBRE;MASCOTA_RAZA;MASCOTA_ULTIMA_VACUNA;MASCOTA_ULTIMA_DESPARACITACION;CAMPANIA;LATITUD;LONGITUD;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;FECHA_CORTE
2023;8519;20230726;382cebd5a2ba521b6af2a82929640ca9d1e5c573ba6e46ed3cb60a501e0e4193;PERRO;MACHO;BRACO;AIREDALE TERRIER;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745709;-77.0233974;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8520;20230726;9314afd14b154156e3f8fd7ae01da5a1103877a6d35948e9606ecc3efb396d5c;GATO;HEMBRA;BRISA;MESTIZO  ;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745709;-77.0233974;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8521;20230726;9314afd14b154156e3f8fd7ae01da5a1103877a6d35948e9606ecc3efb396d5c;GATO;MACHO;BRUNO;MESTIZO  ;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745709;-77.0233974;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8522;20230726;40f923e427064e01c2a37dee19469a85835f00683fa239db3cb7ac6ecc1c4594;GATO;HEMBRA;CHINA;MESTIZO  ;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745276;-77.0233933;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8523;20230726;69337a82df2a1c583f38a3b60ab0449d316bb314812f3d9c5079dc3648ecbd84;PERRO;MACHO;PITO;AIREDALE TERRIER;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745276;-77.0233933;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8524;20230726;ab922febda236ff26117fac467a8b79a256e31280ec6524cedf2e6d1d2daf605;PERRO;MACHO;LUCKY;AIREDALE TERRIER;20230526;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1746076;-77.0234008;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8526;20230726;00935b659ec464a3c412538d9c60d3952b20771b56b4cb8c7f07d8f42bea1673;GATO;MACHO;FANTA;MESTIZO  ;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1746076;-77.0234008;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8527;20230726;29eb8cb30a186ed6d88b1894f42aea3af1567bba5006b7f03a5adc5bdd3ee1d2;PERRO;HEMBRA;MU¥ECA;AIREDALE TERRIER;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745456;-77.0233849;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8528;20230726;d4a2260a89438642f0176f09abfd61199d36476a3db3c0736513d05bff9e7caf;PERRO;HEMBRA;MOGGI;AIREDALE TERRIER;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745456;-77.0233849;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8529;20230726;d4a2260a89438642f0176f09abfd61199d36476a3db3c0736513d05bff9e7caf;PERRO;HEMBRA;KLER;AIREDALE TERRIER;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745456;-77.0233849;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8530;20230726;d4a2260a89438642f0176f09abfd61199d36476a3db3c0736513d05bff9e7caf;PERRO;HEMBRA;GRINGA;MESTIZO;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745456;-77.0233849;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8531;20230726;8299b763b4b2ee8856fd49a4ea9d9c4a481cce28f18fcc87e73a35472eca786e;PERRO;HEMBRA;BLANQUITA;AIREDALE TERRIER;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745456;-77.0233849;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8532;20230803;fc2389fa197d44d82b8e4b3d0b2765848584ae0aca3a26aa592d954747c75168;GATO;MACHO;ZIMBA DUKI;PERSA AMERICANO ;20230801;        ;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1825261;-77.0117174;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8532;20230726;145b16c5dd7b8462f61880e97b3bfde27616bff7665da1dd0468ae8cb61c5a1a;PERRO;MACHO;CHOCOLATE;COCKER SPANIEL;20230726;20230726;CHORRIPATITAS - HUACA DE LA LECHUZA;-12.1745456;-77.0233849;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8600;20230804;3f0aa5e8acdcdf4b81cac9fca281033686dce50bdcb60fe353672762f06d6ba1;PERRO;MACHO;OSITO;AIREDALE TERRIER;20220804;20220804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860509;-77.0086897;LIMA;LIMA;CHORRILLOS;150102;20240422
